Rank[a],"Ship, class, or project name[b]",Cruise line[c],Year(planned)[d],Grosstonnage[b],Lengthoverall[b],Beam[b],Beam[b],Staterooms[b],Passenger capacity[b][e],Passenger capacity[b][e]
Rank[a],"Ship, class, or project name[b]",Cruise line[c],Year(planned)[d],Grosstonnage[b],Lengthoverall[b],Maximum[f],Waterline[g],Staterooms[b],Double[h],Maximum[i]
1,Oasis Class,Royal Caribbean International,2024[19][149],"231,000[19]","362 m(1,188 ft)[19]",66 m(217 ft)[19],66 m(217 ft)[19],"2,857[19]","5,714[19]","6,700[19]"
2,Wonder of the Seas[150],Royal Caribbean International,2022[150],">228,081[137]",">362 m(1,188 ft)[137]",>65.7 m(215.5 ft)[137],>65.7 m(215.5 ft)[137],Un­known,"5,700[151]",Un­known
3,Global Dream[142],Dream Cruises,2021[142],"208,000[142]","342 m(1,122 ft)[142]",46.4 m(152 ft)[142],46.4 m(152 ft)[142],"2,350[142]","4,700[142]","9,000[142]"
3,Global Class,Dream Cruises,2022[142],"208,000[142]","342 m(1,122 ft)[142]",46.4 m(152 ft)[142],46.4 m(152 ft)[142],"2,350[142]","4,700[142]","9,000[142]"
5,MSC World Europa[152],MSC Cruises,2022[46],"205,700[46]","333.3 m(1,094 ft)[46]",47 m(154 ft)[46],47 m(154 ft)[46],"2,632[46]","5,264[46]","6,761[46]"
5,World Class II,MSC Cruises,2025[144][153],"205,700[145]","333.3 m(1,094 ft)[145]",47 m(154 ft)[145],47 m(154 ft)[145],"2,632[145]","5,264[145]","6,774[145]"
5,World Class III,MSC Cruises,2025[144],"205,700[145]","333.3 m(1,094 ft)[145]",47 m(154 ft)[145],47 m(154 ft)[145],"2,632[145]","5,264[145]","6,774[145]"
5,World Class IV,MSC Cruises,2027[144],"205,700[145]","333.3 m(1,094 ft)[145]",47 m(154 ft)[145],47 m(154 ft)[145],"2,632[145]","5,264[145]","6,774[145]"
9,Icon of the Seas[154][138],Royal Caribbean International,2023[138][149],"200,000[138]",Un­known,Un­known,Un­known,Un­known,"5,000[138]","5,000[138]"
9,Icon class[138],Royal Caribbean International,2025[149][138],"200,000[138]",Un­known,Un­known,Un­known,Un­known,"5,000[138]","5,000[138]"
9,Icon class[138],Royal Caribbean International,2026[149][138],"200,000[138]",Un­known,Un­known,Un­known,Un­known,"5,000[138]","5,000[138]"
12,Costa Toscana[155],Costa Cruises,2021[155],"185,010[155]","337 m(1,106 ft)[155]",42 m(138 ft)[155],42 m(138 ft)[155],"2,612[155]","5,224[155]","6,554[155]"
13,Arvia[156],P&O Cruises,2022[157],"183,900[38]","344.5 m(1,130 ft)[158]",42 m(138 ft)[158],42 m(138 ft)[158],"2,614[158]","5,206[38]","6,600[39]"
14,MSC Euribia[159],MSC Cruises,2023[145],"183,500[145]","331.43 m(1,087.4 ft)[145]",43 m(141 ft)[145],43 m(141 ft)[145],"2,408[145]","4,816[145]","6,335[145]"
15,AIDAcosma[160],AIDA Cruises,2021[160],"183,200[160]","337 m(1,106 ft)[160]",42 m(138 ft)[160],42 m(138 ft)[160],"2,626[160]","5,228[160]","6,600[39]"
15,Helios Class[161],Carnival Cruise Line[162],2023[161],"183,200[161]","337 m(1,106 ft)[161]",42 m(138 ft)[161],42 m(138 ft)[161],"2,626[161]","5,228[161]","6,600[39]"
17,Carnival Celebration[163],Carnival Cruise Line,2022[163],"180,800[44]","345 m(1,132 ft)[164]",Un­known,Un­known,"2,600[165]","5,200[165]","6,600[164]"
18,Sphere Class,Princess Cruises,2023[166],"175,000[166]",Un­known,Un­known,Un­known,Un­known,"4,300[166]",Un­known
18,Sphere Class,Princess Cruises,2025[166],"175,000[166]",Un­known,Un­known,Un­known,Un­known,"4,300[166]",Un­known
20,MSC Seascape[167],MSC Cruises,2022[53],"169,400[53]","339 m(1,112 ft)[53]",41 m(135 ft)[53],41 m(135 ft)[53],"2,270[53]","4,540[53]","5,632[53]"
21,TBA,TUI Cruises,2024[140],"161,000[140]",Un­known,Un­known,Un­known,Un­known,Un­known,Un­known
21,TBA,TUI Cruises,2026[140],"161,000[140]",Un­known,Un­known,Un­known,Un­known,Un­known,Un­known
23,Disney Wish[148],Disney Cruise Line,2021[148],"144,000[148]","341.13 m(1,119.19 ft)[148]",39.00 m(127.95 ft)[148],39.00 m(127.95 ft)[148],"1,250[148]","2,500[148]",Un­known
23,Triton class[168],Disney Cruise Line,2022[148],"144,000[148]","341.13 m(1,119.19 ft)[148]",39.00 m(127.95 ft)[148],39.00 m(127.95 ft)[148],"1,250[148]","2,500[148]",Un­known
23,Triton class[168],Disney Cruise Line,2023[148],"144,000[148]","341.13 m(1,119.19 ft)[148]",39.00 m(127.95 ft)[148],39.00 m(127.95 ft)[148],"1,250[148]","2,500[148]",Un­known
26,Discovery Princess[105],Princess Cruises,2021[105],"144,650[105]","330 m(1,080 ft)[105]",Un­known,Un­known,"1,830[105]","3,660[105]",Un­known
27,Celebrity Beyond[139],Celebrity Cruises,2022[149][139],"140,600[139]","327 m(1,073 ft)[139]",Un­known,Un­known,"1,650[139]","3,300[139]",Un­known
27,Edge Class,Celebrity Cruises,2023[149][139],"140,600[139]","327 m(1,073 ft)[139]",Un­known,Un­known,"1,650[139]","3,300[139]",Un­known
27,Edge Class,Celebrity Cruises,2024[139],"140,600[139]","327 m(1,073 ft)[139]",Un­known,Un­known,"1,650[139]","3,300[139]",Un­known
30,Norwegian Prima,Norwegian Cruise Line,2022[169],"140,000[169]",300 m(980 ft)[169],Un­known,Un­known,Un­known,"3,300[147]","3,300[147]"
30,Project Leonardo,Norwegian Cruise Line,2023[169],"140,000[169]",300 m(980 ft)[169],Un­known,Un­known,Un­known,"3,300[147]","3,300[147]"
30,Project Leonardo,Norwegian Cruise Line,2024[169],"140,000[169]",300 m(980 ft)[169],Un­known,Un­known,Un­known,"3,300[147]","3,300[147]"
30,Project Leonardo,Norwegian Cruise Line,2025[169],"140,000[169]",300 m(980 ft)[169],Un­known,Un­known,Un­known,"3,300[147]","3,300[147]"
30,Project Leonardo,Norwegian Cruise Line,2026[169],"140,000[169]",300 m(980 ft)[169],Un­known,Un­known,Un­known,"3,300[147]","3,300[147]"
30,Project Leonardo,Norwegian Cruise Line,2027[169],"140,000[169]",300 m(980 ft)[169],Un­known,Un­known,Un­known,"3,300[147]","3,300[147]"
36,Vista class[170][171],CSSC Carnival Cruise Shipping[146],2023[171],"135,000[170]",Un­known,Un­known,Un­known,Un­known,Un­known,"5,000[171]"
36,Vista class[170][171],CSSC Carnival Cruise Shipping[146],2024[171],"135,000[170]",Un­known,Un­known,Un­known,Un­known,Un­known,"5,000[171]"
